代码,名称,买入价,当前价,收益率%,持有天数,状态,止盈价,止损价,技术评分,RSI,资金评分,卖出原因
002600,领益智造,16.4,16.4,6.7,0,新增推荐,18.86,15.91,50,50,50,
600452,涪陵电力,13.3,13.3,6.49,0,新增推荐,15.29,12.9,50,50,50,
000819,岳阳兴长,17.08,17.08,6.48,0,新增推荐,19.64,16.57,50,50,50,
603477,巨星农牧,18.93,18.93,6.17,0,新增推荐,21.77,18.36,50,50,50,
603203,快克智能,64.63,64.63,5.04,0,新增推荐,74.32,62.69,50,50,50,
002031,巨轮智能,7.64,7.64,4.8,0,新增推荐,8.79,7.41,50,50,50,
002549,凯美特气,19.91,19.91,5.68,0,新增推荐,22.9,19.31,50,50,50,
605198,安德利,59.0,59.0,5.26,0,新增推荐,67.85,57.23,50,50,50,
002023,海特高新,13.85,13.85,4.21,0,新增推荐,15.93,13.43,50,50,50,
600199,金种子酒,8.23,8.23,4.84,0,新增推荐,9.46,7.98,50,50,50,
600048,保利发展,6.39,6.32,-1.10,8,holding,6.9,6.2,,,,
300124,汇川技术,75.55,74.42,-1.50,7,holding,79.33,73.28,,,,
300400,劲拓股份,30.31,31.38,3.53,6,holding,31.83,29.4,,,,
688165,埃夫特,19.72,19.35,-1.88,6,holding,20.71,19.13,,,,
600151,航天机电,14.47,14.5,0.21,35,take_profit,15.193500000000002,14.0359,,,,持仓期满 (35天 >= 14天)
601669,中国电建,5.636666666666667,5.83,3.43,35,take_profit,5.9185,5.4675666666666665,,,,持仓期满 (35天 >= 14天)
601788,光大证券,15.226666666666667,15.23,0.02,35,take_profit,15.988000000000001,14.769866666666665,,,,持仓期满 (35天 >= 14天)
000793,*ST华闻,2.7133333333333334,2.77,2.09,34,take_profit,2.849,2.6319333333333335,,,,持仓期满 (34天 >= 14天)
001979,招商蛇口,8.85,9.25,4.52,27,take_profit,9.56,8.58,,,,持仓期满 (27天 >= 14天)
000725,京东方Ａ,4.19,4.22,0.72,24,take_profit,4.53,4.06,,,,持仓期满 (24天 >= 14天)
601939,建设银行,9.73,9.74,0.10,24,take_profit,10.51,9.44,,,,持仓期满 (24天 >= 14天)
600111,北方稀土,50.89,53.27,4.68,24,take_profit,54.96,49.36,,,,持仓期满 (24天 >= 14天)
600383,金地集团,2.87,2.93,2.09,15,take_profit,3.1,2.78,,,,持仓期满 (15天 >= 14天)
600887,伊利股份,26.57,27.78,4.55,15,take_profit,28.7,25.77,,,,持仓期满 (15天 >= 14天)
600654,中安科,4.4,3.91,-11.14,36,stop_loss,4.620000000000001,4.268,,,,止损触发 (亏损-11.1%)
000536,华映科技,4.38,4.0,-8.68,36,stop_loss,4.599,4.2486,,,,止损触发 (亏损-8.7%)
603334,丰倍生物,53.0,48.76,-8.00,35,stop_loss,55.650000000000006,51.41,,,,止损触发 (亏损-8.0%)
