代码,名称,买入价,当前价,收益率%,持有天数,状态,止盈价,止损价,技术评分,RSI,资金评分,卖出原因
600118,中国卫星,114.18,114.18,6.41,0,新增推荐,131.31,110.75,50,50,50,
600522,中天科技,40.9,40.9,6.57,0,新增推荐,47.03,39.67,50,50,50,
605111,新洁能,44.52,44.52,6.43,0,新增推荐,51.2,43.18,50,50,50,
000026,飞亚达,19.9,19.9,6.3,0,新增推荐,22.88,19.3,50,50,50,
002203,海亮股份,22.11,22.11,5.84,0,新增推荐,25.43,21.45,50,50,50,
601872,招商轮船,19.49,19.49,5.75,0,新增推荐,22.41,18.91,50,50,50,
601515,衢州东峰,4.79,4.79,5.74,0,新增推荐,5.51,4.65,50,50,50,
600879,航天电子,26.65,26.65,5.29,0,新增推荐,30.65,25.85,50,50,50,
002664,信质集团,23.63,23.63,5.54,0,新增推荐,27.17,22.92,50,50,50,
600389,江山股份,28.95,28.95,5.5,0,新增推荐,33.29,28.08,50,50,50,
002594,比亚迪,102.28,100.02,-2.21,12,holding,110.46,99.21,,,,
600383,金地集团,2.87,2.97,3.48,10,holding,3.1,2.78,,,,
600887,伊利股份,26.57,27.52,3.58,10,holding,28.7,25.77,,,,
600048,保利发展,6.39,6.43,0.63,3,holding,6.9,6.2,,,,
300124,汇川技术,75.55,75.0,-0.73,2,holding,79.33,73.28,,,,
688008,澜起科技,209.91,210.27,0.17,2,holding,220.41,203.61,,,,
688205,德科立,255.9,251.32,-1.79,2,holding,268.69,248.22,,,,
688432,有研硅,17.88,17.86,-0.11,1,holding,18.77,17.34,,,,
300400,劲拓股份,30.31,30.25,-0.20,1,holding,31.83,29.4,,,,
688165,埃夫特,19.72,19.74,0.10,1,holding,20.71,19.13,,,,
600118,中国卫星,114.18,114.18,0.00,1,holding,119.89,110.75,,,,
000949,新乡化纤,7.31,7.67,4.92,30,take_profit,7.6754999999999995,7.090699999999999,,,,持仓期满 (30天 >= 14天)
601669,中国电建,5.636666666666667,5.85,3.78,30,take_profit,5.9185,5.4675666666666665,,,,持仓期满 (30天 >= 14天)
601788,光大证券,15.226666666666667,15.35,0.81,30,take_profit,15.988000000000001,14.769866666666665,,,,持仓期满 (30天 >= 14天)
600325,华发股份,3.4366666666666665,3.56,3.59,30,take_profit,3.6085,3.3335666666666666,,,,持仓期满 (30天 >= 14天)
600170,上海建工,2.7266666666666666,2.73,0.12,30,take_profit,2.863,2.6448666666666667,,,,持仓期满 (30天 >= 14天)
002415,海康威视,34.51,35.55,3.01,19,take_profit,37.27,33.47,,,,持仓期满 (19天 >= 14天)
600654,中安科,4.4,4.18,-5.00,31,stop_loss,4.620000000000001,4.268,,,,止损触发 (亏损-5.0%)
000536,华映科技,4.38,4.12,-5.94,31,stop_loss,4.599,4.2486,,,,止损触发 (亏损-5.9%)
603334,丰倍生物,53.0,50.76,-4.23,30,stop_loss,55.650000000000006,51.41,,,,止损触发 (亏损-4.2%)
001390,古麒绒材,21.88,21.18,-3.20,30,stop_loss,22.974,21.223599999999998,,,,止损触发 (亏损-3.2%)
000793,*ST华闻,2.7133333333333334,2.68,-1.23,29,stop_loss,2.849,2.6319333333333335,,,,持仓期满 (29天 >= 14天)
000725,京东方Ａ,4.19,4.17,-0.48,19,stop_loss,4.53,4.06,,,,持仓期满 (19天 >= 14天)
600438,通威股份,18.24,17.22,-5.59,19,stop_loss,19.7,17.69,,,,止损触发 (亏损-5.6%)
601939,建设银行,9.73,9.69,-0.41,19,stop_loss,10.51,9.44,,,,持仓期满 (19天 >= 14天)
300014,亿纬锂能,71.92,69.9,-2.81,18,stop_loss,77.67,69.76,,,,持仓期满 (18天 >= 14天)
300750,宁德时代,448.25,437.0,-2.51,18,stop_loss,484.11,434.8,,,,持仓期满 (18天 >= 14天)
601899,紫金矿业,35.61,34.8,-2.27,18,stop_loss,38.46,34.54,,,,持仓期满 (18天 >= 14天)
601688,华泰证券,19.39,19.11,-1.44,17,stop_loss,20.94,18.81,,,,持仓期满 (17天 >= 14天)
601857,中国石油,11.81,11.12,-5.84,16,stop_loss,12.75,11.46,,,,止损触发 (亏损-5.8%)
601088,中国神华,46.96,45.18,-3.79,16,stop_loss,50.72,45.55,,,,止损触发 (亏损-3.8%)
000963,华东医药,35.18,33.26,-5.46,15,stop_loss,37.99,34.12,,,,止损触发 (亏损-5.5%)
600519,贵州茅台,1458.49,1372.99,-5.86,15,stop_loss,1575.17,1414.74,,,,止损触发 (亏损-5.9%)
002491,通鼎互联,15.2,20.66,35.92,31,partial_sell,15.959999999999999,14.744,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600151,航天机电,14.47,15.39,6.36,30,partial_sell,15.193500000000002,14.0359,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600509,天富能源,7.78,8.63,10.93,29,partial_sell,8.169,7.5466,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600159,大龙地产,2.876666666666667,3.36,16.80,26,partial_sell,3.0205,2.790366666666667,,,,阶梯止盈第1档 (+5.0% 卖出30%)
001979,招商蛇口,8.85,9.43,6.55,22,partial_sell,9.56,8.58,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600111,北方稀土,50.89,54.75,7.58,19,partial_sell,54.96,49.36,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600345,长江通信,52.23,57.45,9.99,2,partial_sell,54.84,50.66,,,,阶梯止盈第1档 (+5.0% 卖出30%)
300672,国科微,201.0,214.56,6.75,2,partial_sell,211.05,194.97,,,,阶梯止盈第1档 (+5.0% 卖出30%)
