代码,名称,操作,优先级,买入价,当前价,收益率%,持有天数,止盈价,止损价,原因
600428,中远海特,持有,normal,,7.83,-1.14,4,,7.6823999999999995,
603386,骏亚科技,持有,normal,,18.1,2.14,4,,17.72,
