排名,代码,名称,买入价,涨幅%,置信度%,技术分,RSI,量比,止盈,止损,原因
1,601919,中远海控,15.00,3.66,82.1,108,66.6,1.37,19.20,14.47,涨幅3.7% | 板块航运 | 技术108 | 资金50
2,603328,依顿电子,13.31,1.84,76.8,95,63.5,1.46,17.04,12.84,涨幅1.8% | 板块PCB | 技术95 | 资金50
3,002319,乐通股份,11.99,2.04,76.0,87,50.1,1.00,15.35,11.57,涨幅2.0% | 板块石墨烯 | 技术87 | 资金50
