代码,名称,买入价,当前价,收益率%,持有天数,状态,止盈价,止损价,技术评分,RSI,资金评分,卖出原因
603678,火炬电子,34.92,34.92,6.69,0,新增推荐,40.16,33.87,50,50,50,
603893,瑞芯微,193.0,193.0,6.51,0,新增推荐,221.95,187.21,50,50,50,
600710,苏美达,12.31,12.31,6.21,0,新增推荐,14.16,11.94,50,50,50,
603496,恒为科技,31.99,31.99,5.68,0,新增推荐,36.79,31.03,50,50,50,
603660,苏州科达,13.49,13.49,4.57,0,新增推荐,15.51,13.09,50,50,50,
600415,小商品城,14.22,14.22,5.72,0,新增推荐,16.35,13.79,50,50,50,
002938,鹏鼎控股,94.12,94.12,5.48,0,新增推荐,108.24,91.3,50,50,50,
600795,国电电力,5.17,5.17,5.3,0,新增推荐,5.95,5.01,50,50,50,
600131,国网信通,18.89,18.89,5.18,0,新增推荐,21.72,18.32,50,50,50,
600114,东睦股份,33.77,33.77,5.17,0,新增推荐,38.84,32.76,50,50,50,
300124,汇川技术,75.55,77.8,2.98,12,holding,79.33,73.28,,,,
688205,德科立,255.9,258.0,0.82,12,holding,268.69,248.22,,,,
688165,埃夫特,19.72,20.55,4.21,11,holding,20.71,19.13,,,,
600584,长电科技,58.05,60.81,4.75,2,holding,66.76,56.31,,,,
600078,澄星股份,15.47,15.86,2.52,2,holding,17.79,15.01,,,,
603662,柯力传感,64.02,66.7,4.19,2,holding,73.62,62.1,,,,
002527,新时达,13.73,14.29,4.08,2,holding,15.79,13.32,,,,
002050,三花智控,52.06,52.33,0.52,2,holding,59.87,50.5,,,,
603486,科沃斯,65.15,68.36,4.93,2,holding,74.92,63.2,,,,
603678,火炬电子,34.92,34.92,0.00,0,holding,40.16,33.87,,,,
603893,瑞芯微,193.0,193.0,0.00,0,holding,221.95,187.21,,,,
600710,苏美达,12.31,12.31,0.00,0,holding,14.16,11.94,,,,
603496,恒为科技,31.99,31.99,0.00,0,holding,36.79,31.03,,,,
603660,苏州科达,13.49,13.49,0.00,0,holding,15.51,13.09,,,,
600415,小商品城,14.22,14.22,0.00,0,holding,16.35,13.79,,,,
002938,鹏鼎控股,94.12,94.12,0.00,0,holding,108.24,91.3,,,,
600795,国电电力,5.17,5.17,0.00,0,holding,5.95,5.01,,,,
600131,国网信通,18.89,18.89,0.00,0,holding,21.72,18.32,,,,
600114,东睦股份,33.77,33.77,0.00,0,holding,38.84,32.76,,,,
001979,招商蛇口,8.85,9.04,2.15,32,take_profit,9.56,8.58,,,,持仓期满 (32天 >= 14天)
000725,京东方Ａ,4.19,4.31,2.86,29,take_profit,4.53,4.06,,,,持仓期满 (29天 >= 14天)
601939,建设银行,9.73,9.93,2.06,29,take_profit,10.51,9.44,,,,持仓期满 (29天 >= 14天)
600887,伊利股份,26.57,27.23,2.48,20,take_profit,28.7,25.77,,,,持仓期满 (20天 >= 14天)
000793,*ST华闻,2.7133333333333334,2.71,-0.12,39,stop_loss,2.849,2.6319333333333335,,,,持仓期满 (39天 >= 14天)
002415,海康威视,34.51,33.38,-3.27,29,stop_loss,37.27,33.47,,,,止损触发 (亏损-3.3%)
600438,通威股份,18.24,16.11,-11.68,29,stop_loss,19.7,17.69,,,,止损触发 (亏损-11.7%)
600111,北方稀土,50.89,50.25,-1.26,29,stop_loss,54.96,49.36,,,,持仓期满 (29天 >= 14天)
300014,亿纬锂能,71.92,65.5,-8.93,28,stop_loss,77.67,69.76,,,,止损触发 (亏损-8.9%)
300750,宁德时代,448.25,417.92,-6.77,28,stop_loss,484.11,434.8,,,,止损触发 (亏损-6.8%)
