代码,名称,买入价,当前价,收益率%,持有天数,状态,止盈价,止损价,技术评分,RSI,资金评分,卖出原因
600192,长城电工,9.19,9.19,6.86,0,新增推荐,10.57,8.91,50,50,50,
600184,光电股份,29.08,29.08,6.6,0,新增推荐,33.44,28.21,50,50,50,
002896,中大力德,80.4,80.4,6.41,0,新增推荐,92.46,77.99,50,50,50,
002126,银轮股份,50.1,50.1,6.14,0,新增推荐,57.61,48.6,50,50,50,
601179,中国西电,19.2,19.2,6.08,0,新增推荐,22.08,18.62,50,50,50,
002129,TCL中环,9.62,9.62,5.83,0,新增推荐,11.06,9.33,50,50,50,
002293,罗莱生活,11.64,11.64,6.01,0,新增推荐,13.39,11.29,50,50,50,
603920,世运电路,66.56,66.56,5.35,0,新增推荐,76.54,64.56,50,50,50,
600550,保变电气,16.5,16.5,5.16,0,新增推荐,18.97,16.0,50,50,50,
600276,恒瑞医药,56.11,56.11,4.84,0,新增推荐,64.53,54.43,50,50,50,
600048,保利发展,6.39,6.62,3.60,6,holding,6.9,6.2,,,,
300124,汇川技术,75.55,75.45,-0.13,5,holding,79.33,73.28,,,,
688432,有研硅,17.88,18.67,4.42,4,holding,18.77,17.34,,,,
300400,劲拓股份,30.31,31.3,3.27,4,holding,31.83,29.4,,,,
688165,埃夫特,19.72,20.0,1.42,4,holding,20.71,19.13,,,,
600118,中国卫星,114.18,111.66,-2.21,4,holding,119.89,110.75,,,,
600151,航天机电,14.47,14.86,2.70,33,take_profit,15.193500000000002,14.0359,,,,持仓期满 (33天 >= 14天)
601788,光大证券,15.226666666666667,15.62,2.58,33,take_profit,15.988000000000001,14.769866666666665,,,,持仓期满 (33天 >= 14天)
000793,*ST华闻,2.7133333333333334,2.74,0.98,32,take_profit,2.849,2.6319333333333335,,,,持仓期满 (32天 >= 14天)
002415,海康威视,34.51,34.56,0.14,22,take_profit,37.27,33.47,,,,持仓期满 (22天 >= 14天)
601688,华泰证券,19.39,19.72,1.70,20,take_profit,20.94,18.81,,,,持仓期满 (20天 >= 14天)
600654,中安科,4.4,4.05,-7.95,34,stop_loss,4.620000000000001,4.268,,,,止损触发 (亏损-8.0%)
000536,华映科技,4.38,4.04,-7.76,34,stop_loss,4.599,4.2486,,,,止损触发 (亏损-7.8%)
603334,丰倍生物,53.0,49.68,-6.26,33,stop_loss,55.650000000000006,51.41,,,,止损触发 (亏损-6.3%)
001390,古麒绒材,21.88,20.45,-6.54,33,stop_loss,22.974,21.223599999999998,,,,止损触发 (亏损-6.5%)
600170,上海建工,2.7266666666666666,2.68,-1.71,33,stop_loss,2.863,2.6448666666666667,,,,持仓期满 (33天 >= 14天)
000725,京东方Ａ,4.19,4.17,-0.48,22,stop_loss,4.53,4.06,,,,持仓期满 (22天 >= 14天)
600438,通威股份,18.24,16.99,-6.85,22,stop_loss,19.7,17.69,,,,止损触发 (亏损-6.9%)
601939,建设银行,9.73,9.63,-1.03,22,stop_loss,10.51,9.44,,,,持仓期满 (22天 >= 14天)
300014,亿纬锂能,71.92,68.09,-5.33,21,stop_loss,77.67,69.76,,,,止损触发 (亏损-5.3%)
300750,宁德时代,448.25,431.25,-3.79,21,stop_loss,484.11,434.8,,,,止损触发 (亏损-3.8%)
601899,紫金矿业,35.61,34.58,-2.89,21,stop_loss,38.46,34.54,,,,持仓期满 (21天 >= 14天)
601857,中国石油,11.81,11.19,-5.25,19,stop_loss,12.75,11.46,,,,止损触发 (亏损-5.2%)
601088,中国神华,46.96,45.2,-3.75,19,stop_loss,50.72,45.55,,,,止损触发 (亏损-3.7%)
000963,华东医药,35.18,33.56,-4.60,18,stop_loss,37.99,34.12,,,,止损触发 (亏损-4.6%)
600519,贵州茅台,1458.49,1354.55,-7.13,18,stop_loss,1575.17,1414.74,,,,止损触发 (亏损-7.1%)
002594,比亚迪,102.28,99.23,-2.98,15,stop_loss,110.46,99.21,,,,持仓期满 (15天 >= 14天)
002491,通鼎互联,15.2,25.0,64.47,34,partial_sell,15.959999999999999,14.744,,,,阶梯止盈第1档 (+5.0% 卖出30%)
000949,新乡化纤,7.31,8.14,11.35,33,partial_sell,7.6754999999999995,7.090699999999999,,,,阶梯止盈第1档 (+5.0% 卖出30%)
601669,中国电建,5.636666666666667,5.95,5.56,33,partial_sell,5.9185,5.4675666666666665,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600325,华发股份,3.4366666666666665,3.65,6.21,33,partial_sell,3.6085,3.3335666666666666,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600509,天富能源,7.78,9.07,16.58,32,partial_sell,8.169,7.5466,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600159,大龙地产,2.876666666666667,3.41,18.54,29,partial_sell,3.0205,2.790366666666667,,,,阶梯止盈第1档 (+5.0% 卖出30%)
001979,招商蛇口,8.85,9.67,9.27,25,partial_sell,9.56,8.58,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600111,北方稀土,50.89,54.44,6.98,22,partial_sell,54.96,49.36,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600383,金地集团,2.87,3.12,8.71,13,partial_sell,3.1,2.78,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600887,伊利股份,26.57,28.01,5.42,13,partial_sell,28.7,25.77,,,,阶梯止盈第1档 (+5.0% 卖出30%)
688008,澜起科技,209.91,240.7,14.67,5,partial_sell,220.41,203.61,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600345,长江通信,52.23,59.2,13.34,5,partial_sell,54.84,50.66,,,,阶梯止盈第1档 (+5.0% 卖出30%)
300672,国科微,201.0,233.4,16.12,5,partial_sell,211.05,194.97,,,,阶梯止盈第1档 (+5.0% 卖出30%)
688205,德科立,255.9,292.58,14.33,5,partial_sell,268.69,248.22,,,,阶梯止盈第1档 (+5.0% 卖出30%)
