代码,名称,买入价,当前价,收益率%,持有天数,状态,止盈价,止损价,技术评分,RSI,资金评分,卖出原因
600460,士兰微,34.15,34.15,6.19,0,新增推荐,39.27,33.13,85.9,65.6,50,
600021,上海电力,18.55,18.55,5.4,0,新增推荐,21.33,17.99,90.0,52.4,50,
601636,旗滨集团,7.13,7.13,5.47,0,新增推荐,8.2,6.92,88.4,58.4,50,
600199,金种子酒,8.62,8.62,4.87,0,新增推荐,9.91,8.36,89.2,55.3,50,
002916,深南电路,400.11,400.11,5.77,0,新增推荐,460.13,388.11,84.4,73.9,50,
002080,中材科技,75.04,75.04,5.27,0,新增推荐,86.3,72.79,84.3,72.9,50,
600699,均胜电子,32.28,32.28,4.74,0,新增推荐,37.12,31.31,87.8,60.5,50,
603678,火炬电子,39.57,39.57,5.02,0,新增推荐,45.51,38.38,83.8,75.5,50,
601615,明阳智能,17.56,17.56,4.59,0,新增推荐,20.19,17.03,86.8,61.9,50,
603650,彤程新材,61.48,61.48,4.49,0,新增推荐,70.7,59.64,87.4,60.3,50,
002531,天顺风能,12.44,12.41,-0.24,8,holding,14.31,12.07,,,,
002527,新时达,13.73,14.25,3.79,8,holding,15.79,13.32,,,,
603127,昭衍新药,39.96,40.79,2.08,8,holding,45.95,38.76,,,,
002050,三花智控,52.06,53.91,3.55,8,holding,59.87,50.5,,,,
603486,科沃斯,65.15,66.91,2.70,8,holding,74.92,63.2,,,,
603893,瑞芯微,193.0,193.46,0.24,6,holding,221.95,187.21,,,,
600460,士兰微,34.09,34.19,0.29,0,holding,39.2,33.07,,,,
600226,亨通股份,6.43,6.48,0.78,0,holding,7.39,6.24,,,,
600199,金种子酒,8.64,8.63,-0.12,0,holding,9.94,8.38,,,,
600707,彩虹股份,11.47,11.59,1.05,0,holding,13.19,11.13,,,,
600699,均胜电子,32.23,32.26,0.09,0,holding,37.06,31.26,,,,
600367,红星发展,27.17,27.06,-0.40,0,holding,31.25,26.35,,,,
600580,卧龙电驱,42.29,42.49,0.47,0,holding,48.63,41.02,,,,
000012,南 玻Ａ,4.53,4.65,2.65,0,holding,5.21,4.39,,,,
600256,广汇能源,6.17,6.17,0.00,0,holding,7.1,5.98,,,,
600363,联创光电,40.81,41.08,0.66,0,holding,46.93,39.59,,,,
600021,上海电力,18.55,18.53,-0.11,0,holding,21.33,17.99,,,,
601636,旗滨集团,7.13,7.12,-0.14,0,holding,8.2,6.92,,,,
002916,深南电路,400.11,399.6,-0.13,0,holding,460.13,388.11,,,,
002080,中材科技,75.04,74.98,-0.08,0,holding,86.3,72.79,,,,
601615,明阳智能,17.56,17.53,-0.17,0,holding,20.19,17.03,,,,
603650,彤程新材,61.48,61.87,0.63,0,holding,70.7,59.64,,,,
600159,大龙地产,2.876666666666667,2.99,3.94,42,take_profit,3.0205,2.790366666666667,,,,持仓期满 (42天 >= 14天)
601939,建设银行,9.73,10.14,4.21,35,take_profit,10.51,9.44,,,,持仓期满 (35天 >= 14天)
600111,北方稀土,50.89,51.11,0.43,35,take_profit,54.96,49.36,,,,持仓期满 (35天 >= 14天)
000793,*ST华闻,2.7133333333333334,2.67,-1.60,45,stop_loss,2.849,2.6319333333333335,,,,持仓期满 (45天 >= 14天)
001979,招商蛇口,8.85,8.64,-2.37,38,stop_loss,9.56,8.58,,,,持仓期满 (38天 >= 14天)
002415,海康威视,34.51,32.27,-6.49,35,stop_loss,37.27,33.47,,,,止损触发 (亏损-6.5%)
600438,通威股份,18.24,15.61,-14.42,35,stop_loss,19.7,17.69,,,,止损触发 (亏损-14.4%)
600078,澄星股份,15.47,13.75,-11.12,8,stop_loss,17.79,15.01,,,,止损触发 (亏损-11.1%)
603179,新泉股份,74.31,61.45,-17.31,8,stop_loss,85.46,72.08,,,,止损触发 (亏损-17.3%)
600710,苏美达,12.31,11.9,-3.33,6,stop_loss,14.16,11.94,,,,止损触发 (亏损-3.3%)
603496,恒为科技,31.99,26.91,-15.88,6,stop_loss,36.79,31.03,,,,止损触发 (亏损-15.9%)
603660,苏州科达,13.49,12.65,-6.23,6,stop_loss,15.51,13.09,,,,止损触发 (亏损-6.2%)
600415,小商品城,14.22,13.61,-4.29,6,stop_loss,16.35,13.79,,,,止损触发 (亏损-4.3%)
600795,国电电力,5.17,4.96,-4.06,6,stop_loss,5.95,5.01,,,,止损触发 (亏损-4.1%)
600131,国网信通,18.89,18.06,-4.39,6,stop_loss,21.72,18.32,,,,止损触发 (亏损-4.4%)
600509,天富能源,7.78,9.82,26.22,45,partial_sell,8.169,7.5466,,,,阶梯止盈第1档 (+5.0% 卖出30%)
000725,京东方Ａ,4.19,5.28,26.01,35,partial_sell,4.53,4.06,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600584,长电科技,58.05,80.17,38.11,8,partial_sell,66.76,56.31,,,,阶梯止盈第1档 (+5.0% 卖出30%)
603662,柯力传感,64.02,67.77,5.86,8,partial_sell,73.62,62.1,,,,阶梯止盈第1档 (+5.0% 卖出30%)
603986,兆易创新,375.34,515.6,37.37,8,partial_sell,431.64,364.08,,,,阶梯止盈第1档 (+5.0% 卖出30%)
603678,火炬电子,34.92,39.68,13.63,6,partial_sell,40.16,33.87,,,,阶梯止盈第1档 (+5.0% 卖出30%)
002938,鹏鼎控股,94.12,114.32,21.46,6,partial_sell,108.24,91.3,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600114,东睦股份,33.77,39.19,16.05,6,partial_sell,38.84,32.76,,,,阶梯止盈第1档 (+5.0% 卖出30%)
