代码,名称,买入价,当前价,收益率%,持有天数,状态,止盈价,止损价,技术评分,RSI,资金评分,卖出原因
600396,华电辽能,19.72,19.72,6.59,0,新增推荐,22.68,19.13,87.4,59.7,50,
002463,沪电股份,130.88,130.88,6.83,0,新增推荐,150.51,126.95,86.2,62.2,50,
600549,厦门钨业,56.14,56.14,6.23,0,新增推荐,64.56,54.46,86.8,42.8,50,
000510,新金路,19.46,19.46,6.22,0,新增推荐,22.38,18.88,89.0,56.6,50,
000921,海信家电,26.64,26.64,5.8,0,新增推荐,30.64,25.84,87.6,61.9,50,
600575,淮河能源,4.39,4.39,5.53,0,新增推荐,5.05,4.26,86.5,64.1,50,
603203,快克智能,71.1,71.1,3.64,0,新增推荐,81.76,68.97,87.3,60.5,50,
603633,徕木股份,8.97,8.97,4.42,0,新增推荐,10.32,8.7,88.2,58.1,50,
601600,中国铝业,11.77,11.77,4.25,0,新增推荐,13.54,11.42,86.6,47.6,50,
600172,黄河旋风,13.97,13.97,3.71,0,新增推荐,16.07,13.55,86.6,61.6,50,
002916,深南电路,400.11,397.92,-0.55,8,holding,460.13,388.11,,,,
600396,华电辽能,19.72,19.69,-0.15,0,holding,22.68,19.13,,,,
002463,沪电股份,130.88,131.04,0.12,0,holding,150.51,126.95,,,,
600549,厦门钨业,56.14,56.03,-0.20,0,holding,64.56,54.46,,,,
000510,新金路,19.46,19.55,0.46,0,holding,22.38,18.88,,,,
000921,海信家电,26.64,26.71,0.26,0,holding,30.64,25.84,,,,
600575,淮河能源,4.39,4.36,-0.68,0,holding,5.05,4.26,,,,
603203,快克智能,71.1,70.41,-0.97,0,holding,81.76,68.97,,,,
603633,徕木股份,8.97,9.0,0.33,0,holding,10.32,8.7,,,,
601600,中国铝业,11.77,11.82,0.42,0,holding,13.54,11.42,,,,
600172,黄河旋风,13.97,13.93,-0.29,0,holding,16.07,13.55,,,,
600795,国电电力,5.17,5.31,2.71,14,take_profit,5.95,5.01,,,,持仓期满 (14天 >= 14天)
603893,瑞芯微,193.0,175.15,-9.25,14,stop_loss,221.95,187.21,,,,止损触发 (亏损-9.2%)
600710,苏美达,12.31,11.5,-6.58,14,stop_loss,14.16,11.94,,,,止损触发 (亏损-6.6%)
603496,恒为科技,31.99,23.09,-27.82,14,stop_loss,36.79,31.03,,,,止损触发 (亏损-27.8%)
603660,苏州科达,13.49,11.42,-15.34,14,stop_loss,15.51,13.09,,,,止损触发 (亏损-15.3%)
600415,小商品城,14.22,12.68,-10.83,14,stop_loss,16.35,13.79,,,,止损触发 (亏损-10.8%)
600131,国网信通,18.89,17.13,-9.32,14,stop_loss,21.72,18.32,,,,止损触发 (亏损-9.3%)
600460,士兰微,34.09,33.0,-3.20,8,stop_loss,39.2,33.07,,,,止损触发 (亏损-3.2%)
600226,亨通股份,6.43,6.1,-5.13,8,stop_loss,7.39,6.24,,,,止损触发 (亏损-5.1%)
600199,金种子酒,8.64,8.23,-4.75,8,stop_loss,9.94,8.38,,,,止损触发 (亏损-4.7%)
600707,彩虹股份,11.47,10.06,-12.29,8,stop_loss,13.19,11.13,,,,止损触发 (亏损-12.3%)
600699,均胜电子,32.23,26.29,-18.43,8,stop_loss,37.06,31.26,,,,止损触发 (亏损-18.4%)
600580,卧龙电驱,42.29,40.14,-5.08,8,stop_loss,48.63,41.02,,,,止损触发 (亏损-5.1%)
000012,南 玻Ａ,4.53,4.11,-9.27,8,stop_loss,5.21,4.39,,,,止损触发 (亏损-9.3%)
600363,联创光电,40.81,34.55,-15.34,8,stop_loss,46.93,39.59,,,,止损触发 (亏损-15.3%)
601636,旗滨集团,7.13,6.5,-8.84,8,stop_loss,8.2,6.92,,,,止损触发 (亏损-8.8%)
002080,中材科技,75.04,65.43,-12.81,8,stop_loss,86.3,72.79,,,,止损触发 (亏损-12.8%)
601615,明阳智能,17.56,15.16,-13.67,8,stop_loss,20.19,17.03,,,,止损触发 (亏损-13.7%)
603650,彤程新材,61.48,52.38,-14.80,8,stop_loss,70.7,59.64,,,,止损触发 (亏损-14.8%)
603678,火炬电子,34.92,58.61,67.84,14,partial_sell,40.16,33.87,,,,阶梯止盈第1档 (+5.0% 卖出30%)
002938,鹏鼎控股,94.12,111.7,18.68,14,partial_sell,108.24,91.3,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600114,东睦股份,33.77,38.79,14.87,14,partial_sell,38.84,32.76,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600367,红星发展,27.17,38.84,42.95,8,partial_sell,31.25,26.35,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600256,广汇能源,6.17,6.6,6.97,8,partial_sell,7.1,5.98,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600021,上海电力,18.55,19.99,7.76,8,partial_sell,21.33,17.99,,,,阶梯止盈第1档 (+5.0% 卖出30%)
