代码,名称,买入价,当前价,收益率%,持有天数,状态,止盈价,止损价,技术评分,RSI,资金评分,卖出原因
000063,中兴通讯,37.74,37.74,3.57,0,新增推荐,43.4,36.61,82.3,46.0,50,
600460,士兰微,34.09,35.32,3.61,10,holding,39.2,33.07,,,,
600226,亨通股份,6.43,6.71,4.35,10,holding,7.39,6.24,,,,
002916,深南电路,400.11,393.38,-1.68,10,holding,460.13,388.11,,,,
000510,新金路,19.46,19.23,-1.18,2,holding,22.38,18.88,,,,
000921,海信家电,26.64,26.55,-0.34,2,holding,30.64,25.84,,,,
600172,黄河旋风,13.97,14.48,3.65,2,holding,16.07,13.55,,,,
000063,中兴通讯,37.74,37.74,0.00,0,holding,43.4,36.61,,,,
600199,金种子酒,8.64,7.46,-13.66,10,stop_loss,9.94,8.38,,,,止损触发 (亏损-13.7%)
600707,彩虹股份,11.47,10.95,-4.53,10,stop_loss,13.19,11.13,,,,止损触发 (亏损-4.5%)
600699,均胜电子,32.23,26.53,-17.69,10,stop_loss,37.06,31.26,,,,止损触发 (亏损-17.7%)
600580,卧龙电驱,42.29,38.84,-8.16,10,stop_loss,48.63,41.02,,,,止损触发 (亏损-8.2%)
000012,南 玻Ａ,4.53,4.2,-7.28,10,stop_loss,5.21,4.39,,,,止损触发 (亏损-7.3%)
600363,联创光电,40.81,35.91,-12.01,10,stop_loss,46.93,39.59,,,,止损触发 (亏损-12.0%)
601636,旗滨集团,7.13,6.56,-7.99,10,stop_loss,8.2,6.92,,,,止损触发 (亏损-8.0%)
002080,中材科技,75.04,63.8,-14.98,10,stop_loss,86.3,72.79,,,,止损触发 (亏损-15.0%)
601615,明阳智能,17.56,14.61,-16.80,10,stop_loss,20.19,17.03,,,,止损触发 (亏损-16.8%)
603650,彤程新材,61.48,53.65,-12.74,10,stop_loss,70.7,59.64,,,,止损触发 (亏损-12.7%)
600575,淮河能源,4.39,4.19,-4.56,2,stop_loss,5.05,4.26,,,,止损触发 (亏损-4.6%)
603203,快克智能,71.1,68.09,-4.23,2,stop_loss,81.76,68.97,,,,止损触发 (亏损-4.2%)
603633,徕木股份,8.97,8.62,-3.90,2,stop_loss,10.32,8.7,,,,止损触发 (亏损-3.9%)
601600,中国铝业,11.77,10.9,-7.39,2,stop_loss,13.54,11.42,,,,止损触发 (亏损-7.4%)
603678,火炬电子,34.92,64.55,84.85,16,partial_sell,40.16,33.87,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600367,红星发展,27.17,46.98,72.91,10,partial_sell,31.25,26.35,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600256,广汇能源,6.17,6.7,8.59,10,partial_sell,7.1,5.98,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600021,上海电力,18.55,19.8,6.74,10,partial_sell,21.33,17.99,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600396,华电辽能,19.72,21.97,11.41,2,partial_sell,22.68,19.13,,,,阶梯止盈第1档 (+5.0% 卖出30%)
002463,沪电股份,130.88,140.82,7.59,2,partial_sell,150.51,126.95,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600549,厦门钨业,56.14,63.73,13.52,2,partial_sell,64.56,54.46,,,,阶梯止盈第1档 (+5.0% 卖出30%)
