代码,名称
002421,达实智能
000889,中嘉博创
600654,中安科
002957,科瑞技术
000727,冠捷科技
600743,华远控股
000536,华映科技
002491,通鼎互联
600320,振华重工
000078,海王生物
603777,来伊份
603334,丰倍生物
000949,新乡化纤
001390,古麒绒材
000586,汇源通信
600151,航天机电
002528,ST英飞拓
600791,京能置业
600707,彩虹股份
002782,可立克
