排名,代码,名称,买入价,涨幅%,置信度%,技术分,RSI,量比,止盈,止损,原因
1,601288,农业银行,6.57,3.30,76.2,89,47.6,1.52,8.41,6.31,涨幅3.3% | 板块银行 | 技术89 | 资金50
2,601398,工商银行,7.50,2.18,76.3,98,61.8,1.62,9.60,7.20,涨幅2.2% | 板块银行 | 技术98 | 资金50
