代码,名称,买入价,当前价,收益率%,持有天数,状态,止盈价,止损价,技术评分,RSI,资金评分,卖出原因
601857,中国石油,11.81,11.12,-5.84,18,stop_loss,12.75,11.46,,,,止损触发 (亏损-5.8%)
601088,中国神华,46.96,45.14,-3.88,18,stop_loss,50.72,45.55,,,,止损触发 (亏损-3.9%)
000963,华东医药,35.18,33.41,-5.03,17,stop_loss,37.99,34.12,,,,止损触发 (亏损-5.0%)
600519,贵州茅台,1458.49,1362.4,-6.59,17,stop_loss,1575.17,1414.74,,,,止损触发 (亏损-6.6%)
002594,比亚迪,102.28,100.22,-2.01,14,stop_loss,110.46,99.21,,,,持仓期满 (14天 >= 14天)
002491,通鼎互联,15.2,22.73,49.54,33,partial_sell,15.959999999999999,14.744,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600325,华发股份,3.4366666666666665,3.7,7.66,32,partial_sell,3.6085,3.3335666666666666,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600509,天富能源,7.78,9.2,18.25,31,partial_sell,8.169,7.5466,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600159,大龙地产,2.876666666666667,3.38,17.50,28,partial_sell,3.0205,2.790366666666667,,,,阶梯止盈第1档 (+5.0% 卖出30%)
001979,招商蛇口,8.85,9.74,10.06,24,partial_sell,9.56,8.58,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600111,北方稀土,50.89,57.71,13.40,21,partial_sell,54.96,49.36,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600383,金地集团,2.87,3.16,10.10,12,partial_sell,3.1,2.78,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600887,伊利股份,26.57,28.08,5.68,12,partial_sell,28.7,25.77,,,,阶梯止盈第1档 (+5.0% 卖出30%)
688008,澜起科技,209.91,247.59,17.95,4,partial_sell,220.41,203.61,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600345,长江通信,52.23,57.96,10.97,4,partial_sell,54.84,50.66,,,,阶梯止盈第1档 (+5.0% 卖出30%)
300672,国科微,201.0,234.8,16.82,4,partial_sell,211.05,194.97,,,,阶梯止盈第1档 (+5.0% 卖出30%)
688205,德科立,255.9,268.7,5.00,4,partial_sell,268.69,248.22,,,,阶梯止盈第1档 (+5.0% 卖出30%)
688432,有研硅,17.88,19.09,6.77,3,partial_sell,18.77,17.34,,,,阶梯止盈第1档 (+5.0% 卖出30%)
