代码,名称,买入价,当前价,收益率%,持有天数,状态,止盈价,止损价,技术评分,RSI,资金评分,卖出原因
002156,通富微电,61.06,61.06,6.82,0,新增推荐,70.22,59.23,50,50,50,
002475,立讯精密,76.15,76.15,6.82,0,新增推荐,87.57,73.87,50,50,50,
600383,金地集团,3.17,3.17,6.73,0,新增推荐,3.65,3.07,50,50,50,
600031,三一重工,21.84,21.84,6.38,0,新增推荐,25.12,21.18,50,50,50,
603386,骏亚科技,15.37,15.37,6.37,0,新增推荐,17.68,14.91,50,50,50,
600130,波导股份,6.53,6.53,6.18,0,新增推荐,7.51,6.33,50,50,50,
002409,雅克科技,94.2,94.2,6.01,0,新增推荐,108.33,91.37,50,50,50,
000021,深科技,32.87,32.87,5.96,0,新增推荐,37.8,31.88,50,50,50,
600664,哈药股份,3.98,3.98,5.85,0,新增推荐,4.58,3.86,50,50,50,
002049,紫光国微,81.79,81.79,5.73,0,新增推荐,94.06,79.34,50,50,50,
600048,保利发展,6.39,6.63,3.76,5,holding,6.9,6.2,,,,
300124,汇川技术,75.55,77.24,2.24,4,holding,79.33,73.28,,,,
300400,劲拓股份,30.31,31.7,4.59,3,holding,31.83,29.4,,,,
688165,埃夫特,19.72,19.39,-1.67,3,holding,20.71,19.13,,,,
600118,中国卫星,114.18,116.29,1.85,3,holding,119.89,110.75,,,,
000949,新乡化纤,7.31,7.57,3.56,32,take_profit,7.6754999999999995,7.090699999999999,,,,持仓期满 (32天 >= 14天)
600151,航天机电,14.47,15.18,4.91,32,take_profit,15.193500000000002,14.0359,,,,持仓期满 (32天 >= 14天)
601669,中国电建,5.636666666666667,5.88,4.32,32,take_profit,5.9185,5.4675666666666665,,,,持仓期满 (32天 >= 14天)
601788,光大证券,15.226666666666667,15.56,2.19,32,take_profit,15.988000000000001,14.769866666666665,,,,持仓期满 (32天 >= 14天)
600170,上海建工,2.7266666666666666,2.73,0.12,32,take_profit,2.863,2.6448666666666667,,,,持仓期满 (32天 >= 14天)
002415,海康威视,34.51,35.32,2.35,21,take_profit,37.27,33.47,,,,持仓期满 (21天 >= 14天)
600654,中安科,4.4,4.16,-5.45,33,stop_loss,4.620000000000001,4.268,,,,止损触发 (亏损-5.5%)
000536,华映科技,4.38,4.07,-7.08,33,stop_loss,4.599,4.2486,,,,止损触发 (亏损-7.1%)
603334,丰倍生物,53.0,50.01,-5.64,32,stop_loss,55.650000000000006,51.41,,,,止损触发 (亏损-5.6%)
001390,古麒绒材,21.88,20.99,-4.07,32,stop_loss,22.974,21.223599999999998,,,,止损触发 (亏损-4.1%)
000793,*ST华闻,2.7133333333333334,2.66,-1.97,31,stop_loss,2.849,2.6319333333333335,,,,持仓期满 (31天 >= 14天)
000725,京东方Ａ,4.19,4.17,-0.48,21,stop_loss,4.53,4.06,,,,持仓期满 (21天 >= 14天)
600438,通威股份,18.24,17.19,-5.76,21,stop_loss,19.7,17.69,,,,止损触发 (亏损-5.8%)
601939,建设银行,9.73,9.58,-1.54,21,stop_loss,10.51,9.44,,,,持仓期满 (21天 >= 14天)
300014,亿纬锂能,71.92,69.88,-2.84,20,stop_loss,77.67,69.76,,,,持仓期满 (20天 >= 14天)
300750,宁德时代,448.25,447.43,-0.18,20,stop_loss,484.11,434.8,,,,持仓期满 (20天 >= 14天)
601899,紫金矿业,35.61,34.22,-3.90,20,stop_loss,38.46,34.54,,,,止损触发 (亏损-3.9%)
601688,华泰证券,19.39,19.33,-0.31,19,stop_loss,20.94,18.81,,,,持仓期满 (19天 >= 14天)
