代码,名称,买入价,当前价,收益率%,持有天数,状态,止盈价,止损价,技术评分,RSI,资金评分,卖出原因
600875,东方电气,40.88,40.88,6.18,0,新增推荐,47.01,39.65,50,50,50,
601231,环旭电子,44.48,44.48,4.02,0,新增推荐,51.15,43.15,50,50,50,
600452,涪陵电力,12.48,12.48,3.48,0,新增推荐,14.35,12.11,50,50,50,
002456,欧菲光,9.12,9.12,3.87,0,新增推荐,10.49,8.85,50,50,50,
002273,水晶光电,39.33,39.33,3.53,0,新增推荐,45.23,38.15,50,50,50,
002241,歌尔股份,26.12,26.12,3.4,0,新增推荐,30.04,25.34,50,50,50,
603915,国茂股份,18.81,18.81,7.0,0,新增推荐,21.63,18.25,50,50,50,
002916,深南电路,347.82,347.82,5.47,0,新增推荐,399.99,337.39,50,50,50,
002837,英维克,106.38,106.38,6.39,0,新增推荐,122.34,103.19,50,50,50,
002600,领益智造,15.35,15.35,2.61,0,新增推荐,17.65,14.89,50,50,50,
600048,保利发展,6.39,6.5,1.72,7,holding,6.9,6.2,,,,
300124,汇川技术,75.55,76.49,1.24,6,holding,79.33,73.28,,,,
300400,劲拓股份,30.31,31.2,2.94,5,holding,31.83,29.4,,,,
688165,埃夫特,19.72,19.79,0.35,5,holding,20.71,19.13,,,,
600118,中国卫星,114.18,111.84,-2.05,5,holding,119.89,110.75,,,,
601788,光大证券,15.226666666666667,15.53,1.99,34,take_profit,15.988000000000001,14.769866666666665,,,,持仓期满 (34天 >= 14天)
600325,华发股份,3.4366666666666665,3.53,2.72,34,take_profit,3.6085,3.3335666666666666,,,,持仓期满 (34天 >= 14天)
000725,京东方Ａ,4.19,4.22,0.72,23,take_profit,4.53,4.06,,,,持仓期满 (23天 >= 14天)
601688,华泰证券,19.39,19.47,0.41,21,take_profit,20.94,18.81,,,,持仓期满 (21天 >= 14天)
600654,中安科,4.4,4.12,-6.36,35,stop_loss,4.620000000000001,4.268,,,,止损触发 (亏损-6.4%)
000536,华映科技,4.38,4.06,-7.31,35,stop_loss,4.599,4.2486,,,,止损触发 (亏损-7.3%)
