代码,名称,操作,优先级,买入价,当前价,收益率%,持有天数,止盈价,止损价,原因
600428,中远海特,部分卖出,normal,,7.66,-3.28,,,,趋势止损半仓 (亏损-3.3%)
601919,中远海控,部分卖出,normal,,14.41,-3.93,,,,趋势止损半仓 (亏损-3.9%)
600801,华新建材,部分卖出,normal,,18.35,-6.90,,,,趋势止损半仓 (亏损-6.9%)
002281,光迅科技,部分卖出,normal,,202.6,-10.98,,,,趋势止损半仓 (亏损-11.0%)
603386,骏亚科技,持有,normal,,18.59,4.91,3,,17.72,
